ID,Fog Capacity,Edge Capacity,Cloud Capacity,Total Capacity,Total Weighted Capacity
1, 0.00000000,0.00000000,90028951593.47544900,90028951593.47544900,360464938294.83258000
2, 0.00000000,1800154.87384082,90018000003.01730300,90036001551.75570700,360457538010.89569000
3, 450000.43816622,0.00000000,90022500009.34239200,90045000031.25070200,360485761406.62610000
4, 0.00000000,9022500068.94554520,15856338.39442416,90240857027.84986900,722153058476.11816000
5, 0.00000000,9024300223.81938550,404899.93603272,90243407138.12989800,722126689647.40808000
6, 450000.43816622,9027000011.00907900,416075.76758893,90292916207.76669300,722493571884.37366000
7, 1831500002.20669750,109185.09170611,15529465.26173733,91591621426.51367200,1099204821273.39110000
8, 1831500002.20669750,1909339.96554694,78026.80334589,91594171536.79368600,1099178452444.68100000
9, 1831950002.64486360,109185.09170611,78026.80334589,91598670009.96359300,1099184427547.57420000
10, 1827000013.95524120,0.00000000,15867514.22598037,91365868211.98803700,1096493775823.06710000
11, 1827000013.95524120,1800154.87384082,416075.76758893,91368418322.26805100,1096467406994.35690000
12, 1827450014.39340730,0.00000000,416075.76758893,91372916795.43795800,1096473382097.25010000
13, 1827000013.95524120,101976.26598032,15451438.45839144,91366471898.88024900,1096500134892.32350000
14, 1822500004.84215930,1891178.81461607,0.00000000,91143912030.25412000,1093772527023.56960000
15, 1822950005.28032540,91023.94077525,0.00000000,91148410503.42402600,1093778502126.46280000
16, 2388874853.16903110,0.00000000,15529465.26173733,119459272123.71329000,1433617811049.59790000
17, 2388874853.16903110,1800154.87384082,78026.80334589,119461822233.99332000,1433591442220.88790000
18, 2389324853.60719730,0.00000000,78026.80334589,119466320707.16321000,1433597417323.78100000
