ID,Node FE,Node EC,Node CE,Node EF,Node FF,Node EE,Node F,Node E,Node C
1, 721968.28574947, 3325880.01496326, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 90004577600.46539300
2, 721968.28574947, 3609949.12088919, 533072.66819734, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 90004577600.46539300
3, 843965.35593989, 3609949.12088919, 310003.85558555, 279303.22973254, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 90004577600.46539300
4, 721968.28574947, 613834.87981368, 526773.73491035, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 9004577593.01450350, 12558942.71516311
5, 721968.28574947, 613834.87981368, 526773.73491035, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 9004577593.01450350, 12558942.71516311
6, 843965.35593989, 613834.87981368, 362637.45594814, 244463.73650649, 0.00000000, 0.00000000, 0.00000000, 9004577593.01450350, 6455448.57459915
7, 977237.00922206, 2441405.17942150, 1152696.96666773, 523435.26073840, 0.00000000, 0.00000000, 1804528767.86402890, 7359374.62240005, 48884397.71463463
8, 977237.00922206, 2441405.17942150, 1152696.96666773, 523435.26073840, 0.00000000, 0.00000000, 1804528767.86402890, 7359374.62240005, 48884397.71463463
9, 977237.00922206, 2441405.17942150, 1152696.96666773, 523435.26073840, 0.00000000, 0.00000000, 1804528767.86402890, 7359374.62240005, 48884397.71463463
10, 488956.10346034, 1224186.01250411, 1681911.66910467, 488604.27532485, 0.00000000, 0.00000000, 1804528767.86402890, 0.00000000, 24818730.99629104
11, 488956.10346034, 1224186.01250411, 1681911.66910467, 488604.27532485, 0.00000000, 0.00000000, 1804528767.86402890, 0.00000000, 24818730.99629104
12, 488956.10346034, 1224186.01250411, 1681911.66910467, 488604.27532485, 0.00000000, 0.00000000, 1804528767.86402890, 0.00000000, 24818730.99629104
13, 233788.79906997, 2441721.82473636, 0.00000000, 488604.27532485, 0.00000000, 488287.63000291, 1804571492.47334290, 3700792.98202574, 0.00000000
14, 211377.46843442, 0.00000000, 0.00000000, 488604.27532485, 0.00000000, 488287.63000291, 1804571492.47334290, 3700792.98202574, 0.00000000
15, 211377.46843442, 0.00000000, 0.00000000, 488604.27532485, 0.00000000, 488287.63000291, 1804571492.47334290, 3700792.98202574, 0.00000000
16, 3906256.25627244, 19531248.80569103, 19531564.36819340, 3906571.81878188, 1953798.82074550, 0.00000000, 1866853088.08963780, 0.00000000, 152178225.00670031
17, 3906256.25627244, 19531248.80569103, 19531564.36819340, 3906571.81878188, 1953798.82074550, 0.00000000, 1866853088.08963780, 0.00000000, 152178225.00670031
18, 3906256.25627244, 19531248.80569103, 19531564.36819340, 3906571.81878188, 1953798.82074550, 0.00000000, 1866853088.08963780, 0.00000000, 152178225.00670031
